uid,name,gender,ethnicity,rank_2015,age,party_membership_age,rank_2005,edu_2005,gdpidx,gdpidx_1st,gdpidx_2nd,gdpidx_3rd,f2gdpidx,logltavg,gdpidx_rl,gdpidx_1st_rl,gdpidx_2nd_rl,gdpidx_3rd_rl,f2gdpidx_rl,logltavg_rl
1280,孙新阳,1,1,6,41.1150684931507,16.8465753424658,4,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1281,贺贤书,1,1,6,57.9616438356164,36.1123287671233,6,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1282,王晓军,1,1,6,52.8712328767123,34.6931506849315,6,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1283,刘鼎兴,1,1,6,46.9534246575342,31.5232876712329,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1284,谭本宏,1,1,6,48.2054794520548,27.772602739725997,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1285,王守初,0,1,6,58.54246575342469,30.5232876712329,6,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1286,刘剑,1,1,5,35.441095890411,14.5123287671233,4,5,15.366666666666665,6.066666666666667,20.599999999999998,12.4,12.199996948242188,-1.2282765706380208,0.8026071097225813,1.3973517461124487,0.39309571171434854,-0.2033710397680445,-0.60570618012821,0.09356321477935986
1287,阿不拉·卡斯木,1,0,5,58.380821917808206,34.07545824343705,5,5,21.7125,6.812500000000002,25.637499999999996,25.799999999999997,9.237500190734863,-0.8567288368940353,-1.0273540518834343,-0.16817730257953636,2.2056322700600246,2.9311621064778093,0.9272064008890012,0.11478275038568507
1288,伊力汗·奥斯曼,1,0,5,41.4465753424658,20.186301369863,5,4,4,4.883333333333333,2.633333333333335,7.8166666666666655,6.000001907348633,-0.9300947189331055,1.3698054025112452,0.22423640343937293,-2.9408430267467103,-3.9082161419704025,-1.8544128017780122,-0.15304366718091308
1289,孙昌华,1,1,5,49.2876712328767,25.70052817797852,5,5,12.5,8.9,13.26666666666666,12.166666666666663,3.6666666666666665,-1.0016580025355022,-6.909952568302871,-2.0810679118474633,-12.633774204015756,-4.057087426776813,-3.6415699986703003,0.051964354279337356
1290,刘新胜,1,1,5,49.5369863013699,28.9397260273973,5,5,4,4.883333333333333,2.633333333333335,7.8166666666666655,6.000001907348633,-0.9300947189331055,1.3698054025112452,0.22423640343937293,-2.9408430267467103,-3.9082161419704025,-1.8544128017780122,-0.15304366718091308
1291,张文全,1,1,5,42.1178082191781,20.9342465753425,4,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1292,陈新发,1,1,5,45.0356164383562,7.178082191780799,3,6,6.380000000000001,4.000000000000003,6.060000000000005,9.5,5.233334859212239,1.7160531997680664,-1.7200023144828682,-10.875802137607211,-2.2975096354305324,1.3267413675531385,-3.340718285678038,-0.15551812230793977
1293,王宜林,1,1,6,48.8684931506849,25.314458789603947,5,6,6.733333333333334,7.600000000000004,6.099999999999999,10.4,8.566668192545572,1.1729544003804524,1.5980403288273899,-6.552179250576135,2.234074804366718,1.8015314811099559,0.9727516497183535,0.21369092560360436
1294,唐健,1,1,5,56.1260273972603,31.99875820008898,5,3,8.25,22.233333333333334,8.144444444444442,8.722222222222221,8.430001068115235,1.1408823907375336,0.8600011572414396,6.042112298670675,1.2763942419058492,-0.7370785375295202,1.0022154857034111,0.07775906115396995
1295,徐卫喜,1,1,5,50.7041095890411,24.6027397260274,5,3,7.9799999999999995,12.930000000000003,7.890000000000001,8.7,7.837501525878906,1.465778112411499,-0.1739284790914472,-3.0773022508713384,-0.2689849656981246,0.10231469615638084,-0.4309589818731877,-0.07089672291882064
