uid,gender,ethnicity,rank_2015,age,party_membership_age,rank_2005,edu_2005
521,1,1,6,55.378082191780805,32.1095890410959,6,5
524,1,1,7,50.1232876712329,20.0191780821918,6,6
525,1,1,7,53.3753424657534,33.441095890411,6,4
526,1,1,7,65.5479452054795,25.6054794520548,7,4
527,1,1,7,60.7945205479452,40.1150684931507,7,4
528,1,1,6,45.3698630136986,17.3506849315068,5,6
529,1,0,6,55.7917808219178,29.273972602739697,6,5
530,1,0,6,60.7945205479452,30.9424657534247,6,4
531,1,1,7,52.8712328767123,34.6931506849315,6,5
532,1,1,6,56.624657534246595,24.1041095890411,6,4
533,0,0,8,62.630136986301395,39.0328767123288,8,4
534,1,1,7,68.8821917808219,45.7013698630137,7,3
535,0,0,6,42.6986301369863,20.6821917808219,6,5
536,1,0,7,50.4520547945205,23.6027397260274,6,5
537,1,1,5,45.7013698630137,22.397490077440658,4,5
538,1,0,5,49.7890410958904,30.1095890410959,4,3
539,1,1,6,42.2027397260274,20.186301369863,5,6
540,1,1,5,46.4493150684931,18.6821917808219,4,5
541,1,0,5,52.6219178082192,28.77141997962454,5,4
542,1,1,6,51.6219178082192,29.273972602739697,5,5
544,0,1,6,56.2109589041096,31.690410958904103,6,3
548,1,NA,6,48.5342465753425,20.5150684931507,5,5
549,0,0,6,46.9534246575342,20.1013698630137,5,6
550,1,1,5,53.1232876712329,29.23318924807254,5,5
551,1,0,5,55.706849315068496,31.6126888117144,5,5
553,1,1,5,47.786301369863,26.9397260273973,5,4
554,1,1,5,50.7890410958904,27.083312653986738,4,4
555,1,1,5,54.55616438356169,30.552890490686245,5,5
556,1,0,5,40.2,17.0986301369863,3,5
557,1,0,5,45.3698630136986,21.1013698630137,4,4
558,1,0,5,47.4493150684931,29.1068493150685,4,3
559,1,0,6,49.4520547945205,20.7671232876712,5,5
561,1,0,5,52.2082191780822,21.6027397260274,5,5
562,0,0,5,43.3698630136986,22.0219178082192,4,5
563,1,1,5,42.1178082191781,16.5123287671233,4,5
565,1,0,5,43.0356164383562,18.0191780821918,3,5
566,1,1,5,42.9506849315068,14.2657534246575,4,5
567,1,0,6,44.1178082191781,19.1013698630137,5,5
568,1,1,5,44.8657534246575,18.0191780821918,4,4
569,1,0,5,40.9479452054794,20.3534246575342,5,4
570,1,0,6,48.7013698630137,28.9397260273973,5,5
571,1,1,6,57.54246575342469,34.7780821917808,6,4
572,1,1,5,47.1205479452055,23.5178082191781,4,4
573,1,0,6,44.9506849315068,25.687671232876703,4,5
576,1,1,6,50.1232876712329,30.775342465753397,4,3
577,1,NA,6,48.8684931506849,30.775342465753397,5,6
578,1,1,5,60.54246575342469,36.06636508936863,5,4
579,0,0,5,38.3671232876712,15.642537445553764,4,5
580,1,0,6,48.2876712328767,25.1041095890411,6,5
581,1,1,5,48.9534246575342,25.9397260273973,4,5
582,1,1,6,56.45479452054791,34.2794520547945,6,5
585,1,1,5,49.0383561643836,29.1068493150685,5,5
586,1,0,6,50.9561643835616,23.189041095890403,5,5
587,1,0,5,NA,NA,5,4
588,1,1,5,52.2904109589041,28.5205479452055,5,5
590,1,0,6,58.709589041095896,37.5287671232877,6,4
591,1,0,5,36.1972602739726,16.5972602739726,4,4
592,1,1,5,43.3698630136986,20.250136812690634,4,5
593,1,0,6,42.8657534246575,21.5178082191781,5,6
594,1,1,6,52.9561643835616,25.271232876712297,5,4
595,1,1,6,47.8684931506849,24.1041095890411,4,5
596,1,1,6,52.6219178082192,30.027397260274,5,5
597,1,1,6,53.3753424657534,24.356164383561598,6,5
598,1,1,6,61.380821917808206,24.5178082191781,6,4
599,1,0,5,43.7835616438356,25.356164383561598,5,4
600,1,0,6,50.8712328767123,32.027397260274,5,3
601,1,0,5,54.293150684931504,32.7753424657534,5,3
602,1,0,6,47.7013698630137,20.4301369863014,5,5
603,1,0,6,53.4547945205479,27.358904109588998,6,5
604,1,0,6,52.7041095890411,29.690410958904103,6,5
605,1,0,8,51.6219178082192,28.9397260273973,7,5
606,1,1,5,41.8657534246575,20.2684931506849,3,4
607,1,1,6,46.786301369863,19.2684931506849,4,5
609,1,1,6,56.624657534246595,28.854794520547898,6,5
612,1,1,5,50.7890410958904,30.1095890410959,5,4
613,1,1,6,50.3753424657534,28.9397260273973,5,5
614,1,1,5,60.0465753424658,35.60964247959221,5,4
615,1,1,5,41.9506849315068,18.2684931506849,4,4
617,1,1,6,47.9534246575342,20.1013698630137,5,5
619,1,1,5,36.1972602739726,14.5123287671233,4,5
620,1,1,5,53.6246575342466,19.1013698630137,5,5
621,1,1,5,55.0438356164384,34.1123287671233,5,5
622,1,1,5,40.7808219178082,18.1013698630137,5,5
625,1,1,5,42.5315068493151,19.0191780821918,4,6
626,1,1,5,44.9506849315068,20.6,4,4
627,0,1,5,50.9561643835616,28.854794520547898,5,4
629,1,1,6,42.8657534246575,22.769863013698597,5,5
630,1,1,6,48.6191780821918,28.358904109588998,6,4
631,1,1,5,55.8739726027397,35.3643835616438,5,4
632,1,0,5,41.2,19.6,4,5
633,1,1,5,43.1178082191781,19.7671232876712,5,6
634,1,1,5,49.7041095890411,30.1095890410959,5,4
635,1,1,7,49.8712328767123,29.273972602739697,6,5
637,1,1,5,50.6219178082192,23.0219178082192,5,5
638,1,1,6,60.0465753424658,31.9424657534247,6,4
639,1,1,6,61.0465753424658,39.613698630137,6,4
640,1,1,6,61.7972602739726,26.6054794520548,6,4
641,1,1,7,53.7068493150685,36.2794520547945,6,5
642,1,1,6,51.5369863013699,29.1068493150685,6,5
643,1,1,6,48.5342465753425,30.3616438356164,5,6
644,1,1,6,51.7041095890411,27.0246575342466,6,4
645,1,1,6,42.9506849315068,17.2657534246575,6,6
646,1,1,6,51.4520547945205,28.6054794520548,5,5
647,1,1,5,49.6219178082192,27.854794520547898,5,5
648,1,1,5,40.6958904109589,20.1013698630137,4,5
649,1,1,7,52.041095890411,30.194520547945203,6,5
651,1,1,5,56.1260273972603,33.6931506849315,5,5
652,1,1,5,49.5369863013699,21.186301369863,4,4
653,1,1,5,42.1178082191781,20.1013698630137,4,4
654,1,1,5,41.8657534246575,18.1013698630137,4,5
655,1,1,6,52.6219178082192,33.2767123287671,6,5
656,1,1,6,49.2054794520548,28.273972602739697,5,5
657,1,1,5,43.6164383561644,17.6,4,5
658,1,1,5,44.3698630136986,18.1013698630137,5,4
659,1,1,7,47.2876712328767,28.772602739725997,6,6
660,1,1,5,43.2849315068493,19.3534246575342,5,6
